kod,konu,etki,ayrinti,kim,kaynak
E01,Iki kalan-ilan listesi celisiyor,27 cift,KALACAK.csv (20 Eyl) ile DIJITAL_78_KALAN_ILANLAR.csv (25 Eyl) farkli ilan tutuyor; views degerleri de farkli. Bu kosu 25 Eyl dosyasini esas aldi (GOREV_0013 md.2).,Claude/Serdar: hangi liste baglayici?,TEMP/DIJITAL_78/KALACAK.csv + DIJITAL_78_KALAN_ILANLAR.csv
E02,digital-desc-batch.yml hala AKTIF,78 korunan ilan,"AKTIF: cron '0 */4 * * *', zamanlanmis kosuda APPLY=true ve onay kapisi muaf. Son iki kosu olculdu (36111401150 / 36228955842): aciklama adimi 0 sn -> yapacak ilan kalmamis, Etsy'ye 0 yazma. Ama cron duruyor ve uyguladigi metin ESKI instant-download aciklamasi; durum CSV'si sifirlanirsa MTO metnini geri yazar. Donusumden once kapatilmali (kapatma ayri onay).",Serdar onayi -> cron kaldirma,.github/workflows/digital-desc-batch.yml
E03,78 wallpaper ilani bu CSV'de yok,78 ilan,Havuz 390 yalniz dijital poster ilanlari. Wallpaper 78 ilani (eski fiyat 6.65 -> yeni 6.99) ayri; listing_id'leri ENVANTER.csv'de.,Claude: kapsam karari (ayri kuru kosu),docs/operations/DIJITAL_78_PLAN_20260920.md
E04,Wallpaper Watch cihazi uretilmiyor,78 wallpaper ilani,WP_LISTING_TEMPLATE 4 cihaz / 16 JPG / 4 ZIP vaat ediyor; V3 hatti Phone+Tablet+Desktop (3 cihaz) uretiyor. Watch eksik.,dijital-78 (V3) + Claude karari,docs/WP_LISTING_TEMPLATE.md + WP_SIPARIS_URETIM.json
E05,Kisisellestirilmis baski dosyasi 5 boy degil,78 korunan ilan,Teslim edilen ZIP 5 boy iceriyor; kisisel/V3 hatti bugun yalniz 24x32 (3:4) isimli dosya uretiyor. Diger 4 oran icin isimli uretim yok.,kisisel oturumu,docs/operations/DIJITAL_78_V3_20260920.md
E06,Kisisellestirilmis ZIP ad kurali yok,78 korunan ilan,Mevcut ad AstroLove_<S1>_<S2>_<EDISYON>_ALL_SIZES.zip; siparise ozel isimli surumun adi kararlastirilmadi. Dosya adi siniri 70 karakter (en uzun mevcut 63).,Claude/Serdar,docs/operations/DIJITAL_78_PLAN_20260920.md
E07,MTO teslimat siniri 5 dosya x 20 MB,78 korunan ilan,"5 edisyon = 5 ZIP: sinira tam oturuyor, 6. dosya yeri YOK. jpegtran optimizasyonundan sonra en buyuk ZIP 18.48 MB (esik alti), ama isim/mesaj eklenince bayt tekrar olculmeli.",dijital-78: uretim sonrasi olcum,Drive ZIP_OPT_OZET.md + MTO_DIJITAL_KURALLARI
E08,Mesaj karakter siniri celisiyor,tum ilanlar,MTO_DIJITAL_KURALLARI onerisi: mesaj 80 karakter. GOREV_0014 testi 35 karakter mesaj istiyor. Tek sinir kararlastirilmali.,Claude,Drive MTO_DIJITAL_KURALLARI + dijital-78_GOREV_0014
E09,Galeri kartlari,78 korunan ilan,Her korunan ilan icin 10 kart (dijital) gerekli; hazir olup olmadigi bu kosuda dogrulanmadi (Drive A1_77/<CIFT>/SET.json).,medya oturumu,dijital-78_RAPOR_0009
E10,updateListing taslagi yayina alir,78 korunan ilan,Her ilanin state'i YAZMADAN ONCE okunacak; taslak kalmasi gerekenler guncellenmeyecek (CLAUDE.md).,dijital-78 (uygulama kosusu),CLAUDE.md
E11,Secim olcutu yeniden dogrulanamiyor,78 cift,"CSV yalniz KORUNAN ilanin siparis/favori/ziyaret degerini veriyor; 312 dusen ilanin degerleri yok. Korunma sebebi tutarlilik ile turetildi, en-yuksek oldugu yeniden olculmedi.",Claude: gerekirse per-ilan salt-okuma turu,DIJITAL_78_KALAN_ILANLAR.csv
