rank,image,alt_text
1,01_cover_midnight_blue.jpg,"Personalized Aquarius and Aquarius zodiac couple fine art print in a gold-toned frame mockup against a warm stone-gray wall. Midnight Blue background with the original gold-colored Aquarius fusion symbol inside a thin circle, two small Aquarius symbols, example names Emily and James, and a sample personal message. Print is sold unframed."
2,02_names_message.jpg,"Close-up of the personalized area on the Midnight Blue print: two small gold-colored Aquarius symbols above the example names Emily and James, joined by an infinity sign, with the sample message It Began With a Kiss in the Rain beneath."
3,03_fixed_layout.jpg,"Example preview of the fixed layout: two Aquarius symbols above the example names Emily and James and a sample message on Midnight Blue."
4,04_shared_symbol.jpg,"Explanation card on a light background with a navy panel: two gold-colored Aquarius symbols labeled Aquarius, joined by thin lines into the original Aquarius fusion symbol."
5,05_five_palettes.jpg,"Five flat previews of the same personalized Aquarius and Aquarius print in Midnight Blue, Deep Black, Champagne Ivory, Pure White and Warm Parchment, each labeled with its color name."
6,06_fine_art_paper.jpg,"Paper details card: flat preview of the Midnight Blue Aquarius and Aquarius print next to notes on 308 gsm, 100% cotton Hahnemuhle Photo Rag, matte finish and pigment giclee printing."
7,07_close_detail.jpg,"Detail card: flat preview of the Midnight Blue print with a marked area on the fusion symbol and an enlarged view of the crossing gold-colored strokes. Printed gold effect, no metallic foil."
8,08_size_guide.jpg,"Size guide with outline diagrams of the print sizes grouped by proportion, with inch and centimeter measurements."
9,09_artwork_names_message.jpg,"Flat preview of the personalized Midnight Blue Aquarius and Aquarius print with notes on personalized names and message, frame not included, printed gold effect and layout proportions."
10,10_made_to_order.jpg,"Made to order card with three notes: one unframed print, size-appropriate packaging, and handling with care."
11,11_deep_black.jpg,"Deep Black edition of the personalized Aquarius and Aquarius print in a gold-toned frame mockup on a warm stone-gray wall, with the gold-colored fusion symbol, two small Aquarius symbols, example names Emily and James and a sample message. Print is sold unframed."
12,12_champagne_ivory.jpg,"Champagne Ivory edition of the personalized Aquarius and Aquarius print in a gold-toned frame mockup on a warm stone-gray wall, with a brown fusion symbol, two small Aquarius symbols, example names Emily and James and a sample message. Print is sold unframed."
13,13_pure_white.jpg,"Pure White edition of the personalized Aquarius and Aquarius print in a gold-toned frame mockup on a warm stone-gray wall, with a gold-colored fusion symbol, two small Aquarius symbols, example names Emily and James and a sample message. Print is sold unframed."
14,14_warm_parchment.jpg,"Warm Parchment edition of the personalized Aquarius and Aquarius print in a gold-toned frame mockup on a warm stone-gray wall, with a brown fusion symbol, two small Aquarius symbols, example names Emily and James and a sample message. Print is sold unframed."
